TAZID,CO_TAZID,DEVACRES,SA_2016
1299,351299,235.11,3
1297,351297,129.23,3
1300,351300,155.72,3
1288,351288,453.46,3
1301,351301,314.32,3
1302,351302,173.59,3
1291,351291,169.61,3
1303,351303,168.26,3
1305,351305,106.47,3
1293,351293,175.46,3
1308,351308,154.42,3
1309,351309,249.84,3
1310,351310,136.24,3
1312,351312,129.83,3
1313,351313,171.57,3
1311,351311,120.07,3
1314,351314,109.08,3
1315,351315,140.62,3
1316,351316,77.54,3
1318,351318,138.62,3
1319,351319,94.99,3
1320,351320,173.96,3
1323,351323,200.15,3
1325,351325,236.69,3
1289,351289,466.56,3
1326,351326,105.5,3
1327,351327,139.98,3
1328,351328,59.88,3
1329,351329,196.24,3
1322,351322,102.46,3
1330,351330,169.8,3
1261,351261,260.28,3
1335,351335,187.91,3
1262,351262,167.45,3
1337,351337,227.36,3
1338,351338,358.59,3
714,350714,216.42,4
1343,351343,220.28,4
1341,351341,882.87,4
1346,351346,590.93,4
1345,351345,680.2,4
1348,351348,197.7,4
1349,351349,518.66,4
1350,351350,268.14,4
1352,351352,590.15,2
1356,351356,417.66,2
1364,351364,234.81,2
1358,351358,395.83,2
1360,351360,637.98,2
1367,351367,419.78,2
1374,351374,330.64,2
1378,351378,210.54,2
1381,351381,168.94,2
1379,351379,162.9,2
1371,351371,269.54,2
1372,351372,79.46,2
1380,351380,155.3,2
1382,351382,169.37,2
1398,351398,450.19,2
1387,351387,66.08,2
1389,351389,431.99,2
1388,351388,452.84,2
1392,351392,255.99,2
1393,351393,427.93,2
1406,351406,250.94,2
1395,351395,343.2,2
1397,351397,238.83,2
1407,351407,223.69,2
1402,351402,509.23,2
1396,351396,287.51,2
1408,351408,199.7,2
1409,351409,150.56,2
1410,351410,126.54,2
1411,351411,467.47,2
1416,351416,306.6,2
1420,351420,450.46,4
933,350933,717.85,4
1421,351421,282.75,2
1481,351481,468.4,2
1455,351455,273.64,2
1424,351424,332.23,2
1423,351423,342.35,2
1429,351429,970.35,2
938,350938,281.08,4
1430,351430,286.9,2
1431,351431,223.95,2
1432,351432,298.57,2
1433,351433,304.82,2
1436,351436,302.25,2
1434,351434,321.01,2
1437,351437,321.95,2
1442,351442,195.83,3
1443,351443,110,2
1445,351445,288.89,2
1446,351446,165.01,3
1448,351448,115,3
931,350931,318.47,3
1451,351451,139.81,1
1452,351452,305.74,1
1449,351449,137.81,1
1453,351453,117.63,1
1454,351454,138.35,1
1428,351428,146.19,2
1456,351456,562.3,2
1486,351486,113.43,2
1458,351458,319.68,2
1460,351460,253.6,2
1459,351459,551.46,2
1462,351462,93.22,2
1466,351466,109.41,2
1464,351464,270.39,2
1438,351438,321.86,2
1468,351468,207.62,2
1471,351471,194.57,2
1469,351469,146.56,2
1474,351474,88.03,2
1476,351476,301.17,2
1473,351473,138.83,2
1477,351477,142.17,2
1475,351475,249.73,2
1478,351478,300.72,2
1483,351483,153.9,2
1484,351484,125.05,2
1457,351457,449.88,2
1487,351487,214.84,2
1489,351489,324.85,2
1485,351485,434.81,2
1491,351491,294.85,2
1496,351496,158.75,2
1490,351490,147.01,2
1488,351488,165.29,2
1494,351494,59.9,2
1497,351497,155.4,2
1502,351502,170.56,2
1495,351495,165.16,2
1467,351467,210.6,2
1480,351480,253.15,1
1513,351513,201.55,1
1509,351509,225.09,2
1514,351514,244.7,1
1519,351519,82.1,2
1518,351518,255,2
1517,351517,139.6,2
1520,351520,28.61,2
1521,351521,65.11,2
1522,351522,103.09,2
1523,351523,58.19,2
1524,351524,54.63,2
1525,351525,89.29,2
1526,351526,59.69,2
1527,351527,42.1,2
1528,351528,107.62,2
1529,351529,88.75,2
1530,351530,49.14,2
1531,351531,127.63,2
1532,351532,129.4,2
1533,351533,79.44,2
1534,351534,155.75,2
1492,351492,153.84,2
1498,351498,258.78,2
1536,351536,155.08,2
1537,351537,174.81,2
1539,351539,88.8,2
1541,351541,147.69,2
1540,351540,67.93,2
1535,351535,384.33,2
1542,351542,181.38,2
1538,351538,151.09,2
1543,351543,122.46,2
1547,351547,130,2
1548,351548,133.21,2
1545,351545,394.75,2
1546,351546,390.44,2
1549,351549,191.28,2
1554,351554,182.88,2
1556,351556,165.21,2
1553,351553,219.01,2
1557,351557,429.7,2
1559,351559,178.73,2
1516,351516,99.91,1
1560,351560,87.74,2
1510,351510,179.77,2
1562,351562,106.43,2
1563,351563,346.66,2
1565,351565,564.21,2
1566,351566,311.28,2
1568,351568,217.27,2
1571,351571,344.35,2
1572,351572,319.13,2
1573,351573,335.56,2
1574,351574,326.85,1
1564,351564,190.2,2
1576,351576,121.22,1
1578,351578,184.72,1
1581,351581,170.09,2
1579,351579,182.8,2
1580,351580,150.96,2
1583,351583,281.85,2
1585,351585,198.84,2
1590,351590,186.77,2
1591,351591,304.06,2
1594,351594,272.73,2
1595,351595,260.15,2
1593,351593,239.77,2
1596,351596,476.09,2
1575,351575,261.64,1
1597,351597,366.36,1
1599,351599,321.63,1
1600,351600,461.49,1
1605,351605,333.38,2
1582,351582,227.22,2
1609,351609,225.56,2
1607,351607,345.51,2
1610,351610,274.56,2
1606,351606,385.14,2
1588,351588,109.92,2
1611,351611,269.77,2
1612,351612,214.57,2
1613,351613,229.52,2
1619,351619,315.63,2
1620,351620,154.47,2
1615,351615,244.63,2
1622,351622,334.7,2
1621,351621,216.46,2
1623,351623,204.63,2
1624,351624,408.33,2
1626,351626,390.73,2
1608,351608,779.96,2
1627,351627,431.96,2
1628,351628,312.57,2
1631,351631,713.59,2
1246,351246,202.72,3
1632,351632,97.61,3
1634,351634,82.62,1
1256,351256,198.89,3
1638,351638,201.16,1
1633,351633,111.51,3
1641,351641,131.02,1
1642,351642,89.79,1
1644,351644,118.87,1
1645,351645,74.57,1
1643,351643,148.21,1
1646,351646,100.05,1
1647,351647,124.6,1
1648,351648,272.84,1
1259,351259,283.91,3
1649,351649,76.77,1
1651,351651,170.17,1
1653,351653,169.68,1
1652,351652,284.4,1
1654,351654,107.28,1
1655,351655,217.93,1
1656,351656,297.33,1
1658,351658,249.75,1
1659,351659,380.23,1
1661,351661,254.59,1
1662,351662,190.45,1
1667,351667,312.84,1
1479,351479,151.05,1
1669,351669,100.33,1
1670,351670,69.41,1
1671,351671,147.77,1
1673,351673,133.81,1
1674,351674,132.81,1
1676,351676,96.71,1
1675,351675,159.5,1
1672,351672,86.2,1
1677,351677,141.46,1
1678,351678,121.6,1
1683,351683,351.9,1
1682,351682,150.71,1
1686,351686,246.95,1
1687,351687,125.72,1
1691,351691,69.04,1
1690,351690,99.86,1
1692,351692,108.33,1
1697,351697,154.46,1
1698,351698,113.77,1
1699,351699,141.54,1
1700,351700,191.17,1
1701,351701,456.42,1
1668,351668,250.94,1
1702,351702,418.6,1
1703,351703,156.92,1
1515,351515,57.55,1
1704,351704,100.64,1
1706,351706,82.06,1
1707,351707,76.78,1
1709,351709,115.47,1
1710,351710,69.09,1
1713,351713,117.62,1
1712,351712,80.54,1
1715,351715,331.37,1
1717,351717,164.51,1
1716,351716,145.38,1
1718,351718,157.3,1
1721,351721,290.65,1
1719,351719,131.76,1
1722,351722,430.38,1
1725,351725,117.36,1
1726,351726,126.01,1
1727,351727,114.43,1
1730,351730,149.29,1
1731,351731,241.42,1
1734,351734,135.08,1
1737,351737,160.18,1
1740,351740,156.54,1
1741,351741,239.19,1
1743,351743,313.9,1
1744,351744,403.44,1
1745,351745,452.48,1
1746,351746,653.38,1
1747,351747,163.52,1
1748,351748,96.54,1
1729,351729,230.66,1
1750,351750,223.53,1
1751,351751,326.45,1
1749,351749,79.97,1
1752,351752,260.05,1
1754,351754,111.17,1
1755,351755,306.66,1
1757,351757,29.19,1
1760,351760,236.14,1
1761,351761,351.31,1
1763,351763,397.68,1
1765,351765,43.4,1
1764,351764,242.47,1
1768,351768,276.46,1
1774,351774,461.07,1
1769,351769,108.25,1
1759,351759,363.48,1
1771,351771,248.66,1
1762,351762,262.65,1
1772,351772,322.37,1
1770,351770,449.96,1
1766,351766,256.97,1
1778,351778,243.83,1
1779,351779,76.01,1
1780,351780,121.51,1
1773,351773,83.5,1
1793,491793,690.18,0
1797,491797,227.05,0
1794,491794,385.67,0
1809,491809,651.59,0
1803,491803,612.29,0
